PREFIXO: ;3D-009
NOME DO POSTO: ;BUENOPOLIS
MUNICÍPIO: ;MORUNGABA
CURSO D'ÁGUA: ;JAGUARI,R
ÁREA (Km²): ;1.950,00
LATITUDE: ;22°51'02"
LONGITUDE: ;46°46'47"
 
Obs: valores com --- representam dados inexistentes.
 
Vazões médias diárias (m³/s)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Vazão Mínima;Vazão Média;Vazão Máxima
  10/1934;13,827;13,297;12,523;12,020;11,772;11,527;11,285;11,527;11,285;17,831;24,457;29,735;40,941;37,297;34,679;29,340;24,457;20,028;15,197;14,367;13,297;12,523;11,527;11,527;13,297;14,096;13,036;13,297;12,270;12,270;12,778;11,285;17,333;40,941
  11/1934;12,270;11,772;10,808;10,342;9,886;9,663;9,886;9,441;9,886;9,441;10,113;12,270;12,523;12,270;11,772;10,808;11,772;12,778;14,367;16,633;15,764;12,778;11,285;10,808;10,342;12,020;15,479;19,706;20,353;21,010;---;9,441;12,608;21,010
  12/1934;22,357;25,544;25,911;35,541;32,158;26,654;25,179;31,339;34,252;37,297;31,339;33,828;44,271;45,739;52,386;90,469;113,499;138,338;173,421;201,874;191,458;160,962;134,023;114,287;91,170;68,880;55,065;64,687;62,932;59,494;55,609;22,357;73,547;201,874
  01/1935;48,749;42,827;40,013;37,297;33,406;32,158;31,339;32,158;35,976;39,097;45,739;40,941;34,679;34,252;35,976;33,406;36,414;39,554;33,828;30,532;28,948;27,408;26,654;27,408;27,789;29,735;38,643;53,985;50,291;41,878;46,234;26,654;36,688;53,985
  02/1935;46,732;48,749;49,261;52,916;62,932;80,283;96,156;104,267;102,767;104,267;102,022;94,718;87,692;79,626;87,004;99,801;104,267;114,287;123,954;143,608;138,338;123,133;108,833;98,335;94,003;95,436;89,075;77,671;---;---;---;46,732;93,219;143,608
  03/1935;71,337;65,278;66,468;68,880;67,669;71,337;75,742;77,671;75,105;84,282;80,942;80,283;85,638;98,335;85,638;82,270;76,382;68,880;71,337;80,283;77,671;72,582;70,103;66,468;60,629;57,813;53,985;51,858;48,749;47,232;46,732;46,732;70,567;98,335
  04/1935;47,735;50,811;62,932;75,105;76,382;68,880;59,494;58,370;58,370;57,258;52,916;49,775;47,735;50,811;54,524;53,985;50,291;46,732;44,758;42,827;41,878;40,941;41,878;42,827;41,878;40,941;40,013;40,476;43,306;45,739;---;40,013;50,986;76,382
  05/1935;40,941;39,097;37,743;36,414;36,414;35,541;35,109;34,679;34,679;33,828;33,828;32,988;32,571;32,158;32,158;31,747;31,339;30,934;31,339;31,747;32,988;33,828;33,828;32,158;31,747;31,339;30,532;29,735;30,132;28,948;28,948;28,948;33,208;40,941
  06/1935;28,559;28,173;27,789;28,173;27,789;27,789;27,789;27,408;27,408;28,948;32,158;34,679;35,541;34,679;32,988;31,339;30,132;29,735;29,340;28,948;28,559;28,173;27,408;26,654;26,281;25,911;25,544;25,544;24,817;24,457;---;24,457;28,757;35,541
  07/1935;24,100;23,746;23,746;23,395;23,395;23,395;23,046;22,700;22,357;22,357;22,016;21,678;21,678;21,678;21,343;21,343;21,343;21,678;21,010;21,010;20,680;20,353;21,010;22,357;22,016;23,046;23,395;24,457;25,911;27,030;25,911;20,353;22,683;27,030
  08/1935;23,746;22,016;21,343;21,678;21,343;21,343;21,010;20,680;20,353;20,028;19,706;20,353;21,010;21,010;20,353;19,706;19,070;18,756;18,445;18,445;18,137;18,445;18,445;18,445;18,445;18,137;17,831;17,831;17,527;17,227;17,227;17,227;19,616;23,746
