PREFIXO: ;3D-002
NOME DO POSTO: ;MONTE ALEGRE DO SUL
MUNICÍPIO: ;MONTE ALEGRE DO SUL
CURSO D'ÁGUA: ;CAMANDUCAIA,R/CAMAND.OU DA GUARDINHA,R/GUARDINHA,R DA
ÁREA (Km²): ;387,00
LATITUDE: ;22°41'44"
LONGITUDE: ;46°40'25"
 
Obs: valores com --- representam dados inexistentes.
 
Vazões médias diárias (m³/s)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Vazão Mínima;Vazão Média;Vazão Máxima
  04/1950;13,283;13,052;14,101;13,983;13,399;13,052;12,478;11,688;10,911;10,365;10,149;10,041;13,283;15,654;16,386;19,008;20,356;21,894;16,755;13,515;12,592;12,822;12,822;12,138;11,688;11,242;11,242;11,912;12,025;12,251;---;10,041;13,470;21,894
  05/1950;11,688;11,464;11,021;10,692;10,583;10,365;10,365;10,041;9,827;9,402;9,297;9,192;9,192;9,087;8,982;8,982;8,878;8,774;8,671;8,568;8,465;8,363;8,260;8,260;8,159;8,057;8,057;8,057;7,956;7,956;7,956;7,956;9,181;11,688
  06/1950;7,855;7,855;7,855;7,855;7,755;7,755;8,568;8,878;8,260;8,057;7,956;7,655;7,655;7,456;7,456;8,159;8,774;8,260;7,956;7,855;7,755;7,258;7,160;7,160;7,160;7,160;7,062;6,867;6,674;6,578;---;6,578;7,690;8,878
  07/1950;7,555;9,402;7,855;7,258;7,062;6,674;6,387;6,387;6,387;6,387;6,292;6,198;6,103;6,103;6,010;6,010;5,916;5,916;5,823;5,823;5,823;5,823;5,823;5,823;5,823;5,823;5,823;5,731;5,731;5,731;5,731;5,731;6,298;9,402
  08/1950;5,731;5,639;5,639;5,639;5,639;5,547;5,547;5,547;5,547;5,547;5,365;5,365;5,274;5,274;5,274;5,456;5,456;5,456;5,456;5,456;5,456;5,365;5,456;5,184;5,184;5,184;5,184;5,094;5,094;5,094;5,094;5,094;5,395;5,731
  09/1950;5,005;5,005;5,005;4,916;4,916;4,916;4,828;4,828;4,828;4,828;4,828;4,740;4,740;4,740;4,740;4,740;4,740;4,740;4,740;4,652;4,652;4,652;4,740;4,916;5,274;6,482;5,731;5,184;4,828;4,740;---;4,652;4,922;6,482
  10/1950;4,828;4,828;4,828;4,828;4,828;6,482;5,823;5,184;4,916;5,094;5,274;5,365;4,916;5,823;5,916;6,198;6,771;7,160;8,057;7,855;7,062;6,010;5,456;5,184;5,094;4,828;4,828;4,565;4,392;4,221;4,307;4,221;5,514;8,057
  11/1950;4,221;4,221;4,221;4,137;4,137;4,052;4,052;4,052;4,479;6,010;6,578;6,198;5,547;5,184;4,916;5,005;7,160;8,057;6,578;5,639;5,184;5,184;5,456;5,274;5,094;4,916;12,478;16,141;11,464;23,473;---;4,052;6,637;23,473
  12/1950;17,375;13,167;10,041;8,465;11,912;12,478;8,671;7,956;7,357;9,402;8,878;8,363;6,674;6,387;11,242;10,583;8,671;7,456;6,482;6,103;6,010;5,916;5,731;5,639;5,547;5,456;5,184;5,094;6,198;6,482;6,771;5,094;8,119;17,375
  01/1951;5,274;5,365;5,184;5,916;7,160;7,160;7,357;8,260;10,149;9,827;11,912;10,911;10,365;10,801;9,827;8,671;8,774;19,454;15,052;17,002;14,101;13,515;11,021;10,257;9,614;10,583;13,283;13,283;12,707;12,138;11,912;5,184;10,543;19,454
  02/1951;10,474;9,297;13,983;16,386;14,812;13,167;15,172;16,755;15,172;13,983;12,138;11,021;9,934;9,297;9,402;9,087;8,982;8,774;10,149;17,126;15,897;12,592;11,464;10,365;9,402;8,465;7,855;7,655;---;---;---;7,655;11,743;17,126
  03/1951;7,357;7,062;6,965;6,867;7,855;9,614;19,753;23,793;21,274;26,247;17,002;14,456;12,592;11,576;13,052;16,141;16,141;15,052;13,983;12,822;12,138;11,800;12,138;14,693;13,749;11,912;10,583;12,707;12,365;11,242;11,131;6,867;13,357;26,247
  04/1951;10,474;12,025;12,707;15,533;17,002;12,822;11,242;10,474;10,041;9,614;8,982;8,465;8,363;8,159;8,057;7,956;7,956;7,855;7,755;7,655;7,555;7,456;7,357;7,258;7,160;7,062;6,867;6,771;6,771;6,674;---;6,674;9,136;17,002
  05/1951;6,674;6,674;6,771;6,674;6,578;6,482;6,198;6,103;6,010;5,916;5,823;5,731;5,731;5,639;5,547;5,547;5,456;5,365;5,365;5,274;5,274;5,184;5,184;5,184;5,094;5,094;5,094;5,005;5,005;5,005;5,005;5,005;5,667;6,771
  06/1951;4,916;4,916;5,184;5,274;5,184;5,094;5,094;5,005;5,005;5,005;4,916;4,828;4,828;4,740;4,652;4,652;4,565;4,479;4,479;4,392;4,392;4,307;4,307;4,221;4,221;4,137;4,137;4,221;4,307;4,392;---;4,137;4,662;5,274
  07/1951;4,392;4,307;4,307;4,221;5,005;4,740;4,392;4,565;4,392;4,392;4,392;4,479;4,392;4,392;4,307;4,221;4,221;4,137;4,052;3,968;3,885;3,802;3,720;3,638;3,556;3,475;3,395;3,395;3,395;3,315;3,315;3,315;4,070;5,005
  08/1951;3,315;3,315;3,235;3,235;3,556;3,475;3,395;3,395;3,315;3,395;3,395;3,315;3,315;3,315;3,315;3,235;3,235;3,235;3,157;3,157;3,157;4,052;4,916;4,565;4,137;3,638;3,315;3,078;3,078;3,000;3,000;3,000;3,427;4,916
